case_id,initialization,interior_points,seed_hash_match,euler_feasible,slsqp_feasible,slsqp_minus_euler_percent
competing_corridors-s12,straight,128,False,False,False,
competing_corridors-s13,arc_left,32,True,False,True,
competing_corridors-s13,arc_left,64,True,True,True,-28.704728512109465
competing_corridors-s13,arc_left,128,False,True,False,
competing_corridors-s13,arc_right,32,True,True,True,0.004947612753085813
competing_corridors-s13,arc_right,64,True,True,True,0.001317460172611732
competing_corridors-s13,arc_right,128,False,True,False,
competing_corridors-s13,barrier,32,True,False,True,
competing_corridors-s13,barrier,64,True,False,True,
competing_corridors-s13,barrier,128,False,False,False,
competing_corridors-s13,fast_marching,32,True,True,True,0.004947607767012859
competing_corridors-s13,fast_marching,64,True,True,True,0.0013174613532039095
competing_corridors-s13,fast_marching,128,False,True,False,
competing_corridors-s13,straight,32,True,False,True,
competing_corridors-s13,straight,64,True,False,False,
competing_corridors-s13,straight,128,False,False,False,
competing_corridors-s14,arc_left,32,True,False,True,
competing_corridors-s14,arc_left,64,True,False,True,
competing_corridors-s14,arc_left,128,False,True,False,
competing_corridors-s14,arc_right,32,True,True,True,-0.0015341293106279797
competing_corridors-s14,arc_right,64,True,True,True,-0.0002212156206019876
competing_corridors-s14,arc_right,128,False,True,False,
competing_corridors-s14,barrier,32,True,False,True,
competing_corridors-s14,barrier,64,True,False,True,
competing_corridors-s14,barrier,128,False,False,False,
competing_corridors-s14,fast_marching,32,True,True,True,-0.0015341130597833394
competing_corridors-s14,fast_marching,64,True,True,True,-0.0002212224762583361
competing_corridors-s14,fast_marching,128,False,True,False,
competing_corridors-s14,straight,32,True,False,True,
competing_corridors-s14,straight,64,True,False,False,
competing_corridors-s14,straight,128,False,False,False,
competing_corridors-s15,arc_left,32,True,True,True,-15.415282069119149
competing_corridors-s15,arc_left,64,True,True,True,-21.533308478357366
competing_corridors-s15,arc_left,128,False,True,False,
competing_corridors-s15,arc_right,32,True,True,True,0.0038296518821881232
